来源模型,来源表,字段,目标模型,目标表,关系类型,on_delete,related_name,业务说明
Student,entry_student,user,PortalUser,entry_portaluser,OneToOne,CASCADE,student_profile,学生档案绑定学生 PortalUser。
Student,entry_student,parent_user,PortalUser,entry_portaluser,ForeignKey,SET_NULL,children,学生与家长账号关联。
Student,entry_student,teacher_user,PortalUser,entry_portaluser,ForeignKey,SET_NULL,managed_students,学生当前负责教师，用于教师端数据隔离。
CourseCategory,entry_coursecategory,course,Course,entry_course,ForeignKey,CASCADE,categories,课程到分类的一对多。
CourseLevel,entry_courselevel,category,CourseCategory,entry_coursecategory,ForeignKey,CASCADE,levels,课程分类到级别的一对多。
CourseContent,entry_coursecontent,course,Course,entry_course,ForeignKey,CASCADE,contents,知识点归属课程。
CourseContent,entry_coursecontent,level,CourseLevel,entry_courselevel,ForeignKey,SET_NULL,contents,知识点归属 Level，可为空。
StudentContentAccess,entry_studentcontentaccess,student,Student,entry_student,ForeignKey,CASCADE,content_accesses,学生内容权限主体。
StudentContentAccess,entry_studentcontentaccess,content,CourseContent,entry_coursecontent,ForeignKey,CASCADE,student_accesses,被开放/限制的知识点。
StudentContentAccess,entry_studentcontentaccess,granted_by,PortalUser,entry_portaluser,ForeignKey,SET_NULL,granted_content_accesses,StudentContentAccess.granted_by 指向 PortalUser。
HomeworkAssignment,entry_homeworkassignment,teacher,PortalUser,entry_portaluser,ForeignKey,CASCADE,homework_assignments,布置作业的教师。
HomeworkAssignment,entry_homeworkassignment,student,Student,entry_student,ForeignKey,CASCADE,homework_assignments,作业接收学生。
HomeworkAssignment,entry_homeworkassignment,content,CourseContent,entry_coursecontent,ForeignKey,CASCADE,homework_assignments,作业关联知识点。
HomeworkAssignment,entry_homeworkassignment,summary,HomeworkSummary,entry_homeworksummary,ForeignKey,SET_NULL,assignments,作业可关联周总结。
HomeworkAssignment,entry_homeworkassignment,source_import_job,HomeworkImportJob,entry_homeworkimportjob,ForeignKey,SET_NULL,shared_assignments,批量作业可复用公共题源。
HomeworkSummary,entry_homeworksummary,created_by,PortalUser,entry_portaluser,ForeignKey,SET_NULL,created_homework_summaries,HomeworkSummary.created_by 指向 PortalUser。
HomeworkImportJob,entry_homeworkimportjob,teacher,PortalUser,entry_portaluser,ForeignKey,CASCADE,homework_import_jobs,HomeworkImportJob.teacher 指向 PortalUser。
HomeworkImportJob,entry_homeworkimportjob,assignment,HomeworkAssignment,entry_homeworkassignment,ForeignKey,CASCADE,import_jobs,学生作业导入任务可绑定作业。
HomeworkImportJob,entry_homeworkimportjob,content,CourseContent,entry_coursecontent,ForeignKey,SET_NULL,homework_import_jobs,公共题源导入任务绑定知识点。
HomeworkQuestion,entry_homeworkquestion,assignment,HomeworkAssignment,entry_homeworkassignment,ForeignKey,CASCADE,questions,正式作业题目归属作业。
HomeworkQuestion,entry_homeworkquestion,import_job,HomeworkImportJob,entry_homeworkimportjob,ForeignKey,SET_NULL,questions,题目来源导入任务。
HomeworkSubmission,entry_homeworksubmission,assignment,HomeworkAssignment,entry_homeworkassignment,ForeignKey,CASCADE,submissions,提交归属作业。
HomeworkSubmission,entry_homeworksubmission,student,Student,entry_student,ForeignKey,CASCADE,homework_submissions,提交归属学生。
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,submission,HomeworkSubmission,entry_homeworksubmission,ForeignKey,CASCADE,answers,逐题答案归属一次提交。
HomeworkSubmissionAnswer,entry_homeworksubmissionanswer,homework_question,HomeworkQuestion,entry_homeworkquestion,ForeignKey,CASCADE,submission_answers,逐题答案对应作业题目。
HomeworkCompletionStat,entry_homeworkcompletionstat,teacher,PortalUser,entry_portaluser,ForeignKey,CASCADE,homework_completion_stats,HomeworkCompletionStat.teacher 指向 PortalUser。
HomeworkCompletionStat,entry_homeworkcompletionstat,student,Student,entry_student,ForeignKey,CASCADE,homework_completion_stats,HomeworkCompletionStat.student 指向 Student。
HomeworkCompletionStatMissingAssignment,entry_homeworkcompletionstatmissingassignment,stat,HomeworkCompletionStat,entry_homeworkcompletionstat,ForeignKey,CASCADE,missing_assignments,HomeworkCompletionStatMissingAssignment.stat 指向 HomeworkCompletionStat。
HomeworkCompletionStatMissingAssignment,entry_homeworkcompletionstatmissingassignment,assignment,HomeworkAssignment,entry_homeworkassignment,ForeignKey,CASCADE,completion_stat_missing_links,HomeworkCompletionStatMissingAssignment.assignment 指向 HomeworkAssignment。
TeacherEvaluation,entry_teacherevaluation,student,Student,entry_student,ForeignKey,CASCADE,teacher_evaluations,TeacherEvaluation.student 指向 Student。
TeacherEvaluation,entry_teacherevaluation,teacher,PortalUser,entry_portaluser,ForeignKey,SET_NULL,submitted_evaluations,TeacherEvaluation.teacher 指向 PortalUser。
RewardRecord,entry_rewardrecord,student,Student,entry_student,ForeignKey,CASCADE,reward_records,RewardRecord.student 指向 Student。
RewardRecord,entry_rewardrecord,teacher,PortalUser,entry_portaluser,ForeignKey,SET_NULL,submitted_rewards,RewardRecord.teacher 指向 PortalUser。
LessonHourLedger,entry_lessonhourledger,student,Student,entry_student,ForeignKey,CASCADE,lesson_hour_ledgers,LessonHourLedger.student 指向 Student。
LessonHourLedger,entry_lessonhourledger,teacher,PortalUser,entry_portaluser,ForeignKey,SET_NULL,submitted_lesson_hour_ledgers,LessonHourLedger.teacher 指向 PortalUser。
TeacherStudentAssignment,entry_teacherstudentassignment,teacher,PortalUser,entry_portaluser,ForeignKey,CASCADE,student_assignments,教师负责关系的教师侧。
TeacherStudentAssignment,entry_teacherstudentassignment,student,Student,entry_student,ForeignKey,CASCADE,teacher_assignments,教师负责关系的学生侧。
TeacherStudentAssignment,entry_teacherstudentassignment,course,Course,entry_course,ForeignKey,CASCADE,teacher_student_assignments,负责范围限定到课程方向。
