URL名称,Path,Method,Role,View,Template,ReturnType,AuthRequired,CSRFRequired,QueryParams,FormParams,Notes
login,/,GET/POST,anonymous,entry.views.login_page,entry/login.html,HTML / redirect,否,required,,password；username,登录与门户
api-miniapp-login,/api/miniapp/login,POST,anonymous,entry.views.api_miniapp_login,,JSON,否,exempt,,,小程序接口
api-miniapp-login-by-phone,/api/miniapp/login_by_phone,POST,anonymous,entry.views.api_miniapp_login_by_phone,,JSON,否,exempt,,,小程序接口
api-parent-get-my-child,/api/parent/get_my_child,GET,parent,entry.views.api_parent_get_my_child,,JSON,是,not required for GET,anchor_date,,家长端 JSON API
api-principal-get-students-info,/api/principal/get_students_info,GET,principal,entry.views.api_principal_get_students_info,,JSON,是,not required for GET,anchor_date,,校长端 JSON API
logout,/logout,GET/POST（代码未限制；模板使用 POST）,anonymous,entry.views.logout_view,,redirect,否,required,,,登录与门户
debug-media-serve,/media/{path},GET,anonymous,codemaster_system.urls.debug_media_serve,,media file / HttpResponse（DEBUG only）,否,not required for GET,,,调试媒体文件路由
parent-student-profile,/parent/student-profile,GET,parent,entry.views.parent_student_profile,entry/role_page.html,HTML,是,not required for GET,,,家长端
parent-homework-list,/parent/student-profile/homework,GET,parent,entry.views.parent_homework_list,entry/student_homework_list.html,HTML,是,not required for GET,,,家长端作业
parent-homework-detail,/parent/student-profile/homework/<int:assignment_id>,GET,parent,entry.views.parent_homework_detail,entry/student_homework_detail.html,HTML,是,not required for GET,,,家长端作业
parent-homework-print-blank,/parent/student-profile/homework/<int:assignment_id>/print/blank,GET,parent,entry.views.parent_homework_print_blank,entry/student_homework_print.html,HTML,是,not required for GET,,,家长端作业
parent-homework-submission-detail,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>,GET,parent,entry.views.parent_homework_submission_detail,entry/homework_submission_detail.html,HTML,是,not required for GET,,,家长端作业
parent-homework-print,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>/print,GET,parent,entry.views.parent_homework_print,entry/student_homework_print.html,HTML,是,not required for GET,,,家长端作业
parent-homework-print-wrong,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>/print/wrong,GET,parent,entry.views.parent_homework_print_wrong,entry/student_homework_print.html,HTML,是,not required for GET,,,家长端作业
parent-homework-summary,/parent/student-profile/homework/<int:assignment_id>/summary,GET,parent,entry.views.parent_homework_summary_detail,entry/homework_summary_detail.html,HTML,是,not required for GET,,,家长端作业
principal-dashboard,/principal/dashboard,GET,principal,entry.views.principal_dashboard,entry/role_page.html,HTML,是,not required for GET,,,校长端
student-account-settings,/student/account-settings,GET/POST,student,entry.views.student_account_settings,entry/student_account_settings.html,HTML / redirect,是,required,updated,current_password；new_username,学生端课程与练习
student-courses,/student/courses,GET,student,entry.views.student_courses,entry/student_portal_page.html,HTML,是,not required for GET,,,学生端课程与练习
student-cpp,/student/cpp,GET,student,entry.views.student_cpp,entry/student_portal_page.html,HTML,是,not required for GET,,,学生端课程与练习
student-cpp-gesp,/student/cpp/gesp,GET,student,entry.views.student_cpp_gesp,entry/student_portal_page.html,HTML,是,not required for GET,,,学生端课程与练习
student-cpp-gesp2,/student/cpp/gesp/gesp2,GET,student,entry.views.student_cpp_gesp2,entry/student_portal_page.html,HTML,是,not required for GET,,,学生端课程与练习
student-cpp-gesp2-topic,/student/cpp/gesp/gesp2/<slug:topic_slug>,GET,student,entry.views.student_cpp_gesp2_topic,entry/student_portal_page.html；entry/topics/gesp2_ascii_char_encoding_page.html；entry/topics/gesp2_enumeration_page.html,HTML,是,not required for GET,,,学生端课程与练习
student-cpp-gesp4,/student/cpp/gesp/gesp4,GET,student,entry.views.student_cpp_gesp4,entry/student_portal_page.html,HTML,是,not required for GET,,,学生端课程与练习
student-cpp-gesp4-topic,/student/cpp/gesp/gesp4/<slug:topic_slug>,GET,student,entry.views.student_cpp_gesp4_topic,entry/student_portal_page.html；entry/topics/gesp4_array_2d_student_page.html,HTML,是,not required for GET,,,学生端课程与练习
student-cpp-gesp4-array-2d,/student/cpp/gesp/gesp4/array-2d,GET,student,entry.views.student_cpp_gesp4_array_2d,,未在代码中确认,是,not required for GET,,,学生端课程与练习
student-practice,/student/practice,GET,student,entry.views.student_practice,entry/student_portal_page.html,HTML,是,not required for GET,,,学生端课程与练习
student-homework-list,/student/practice/homework,GET,student,entry.views.student_homework_list,entry/student_homework_list.html,HTML,是,not required for GET,,,学生端作业
student-homework-detail,/student/practice/homework/<int:assignment_id>,GET/POST,student,entry.views.student_homework_detail,entry/student_homework_detail.html,HTML / redirect,是,required,op,form_action,学生端作业
student-homework-practice,/student/practice/homework/<int:assignment_id>/practice,GET/POST,student,entry.views.student_homework_practice,entry/student_homework_practice.html,HTML / redirect,是,required,,,学生端作业
student-homework-print-blank,/student/practice/homework/<int:assignment_id>/print/blank,GET,student,entry.views.student_homework_print_blank,entry/student_homework_print.html,HTML,是,not required for GET,,,学生端作业
student-homework-submission-detail,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>,GET,student,entry.views.student_homework_submission_detail,entry/homework_submission_detail.html,HTML,是,not required for GET,op,,学生端作业
student-homework-print,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>/print,GET,student,entry.views.student_homework_print,entry/student_homework_print.html,HTML,是,not required for GET,,,学生端作业
student-homework-print-wrong,/student/practice/homework/<int:assignment_id>/submissions/<int:submission_id>/print/wrong,GET,student,entry.views.student_homework_print_wrong,entry/student_homework_print.html,HTML,是,not required for GET,,,学生端作业
student-homework-summary,/student/practice/homework/<int:assignment_id>/summary,GET,student,entry.views.student_homework_summary_detail,entry/homework_summary_detail.html,HTML,是,not required for GET,,,学生端作业
teacher-course-detail,/teacher/courses/<slug:course_slug>,GET,teacher,entry.views.teacher_course_detail,entry/teacher_course_categories.html,HTML,是,not required for GET,,,课程结构与知识点管理
teacher-course-category-detail,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>,GET,teacher,entry.views.teacher_course_category_detail,entry/teacher_course_category_levels.html,HTML,是,not required for GET,,,课程结构与知识点管理
teacher-course-category-export,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/export,GET,teacher,entry.views.teacher_course_category_export,,未在代码中确认,是,not required for GET,,,课程结构与知识点管理
teacher-course-level-detail,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>,GET,teacher,entry.views.teacher_course_level_detail,entry/teacher_course_level_knowledge_points.html,HTML,是,not required for GET,op；page；page_size；q,,课程结构与知识点管理
teacher-course-level-export,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/export,GET,teacher,entry.views.teacher_course_level_export,,未在代码中确认,是,not required for GET,,,课程结构与知识点管理
teacher-course-knowledge-point-delete,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/delete,GET/POST,teacher,entry.views.teacher_course_knowledge_point_delete,entry/teacher_course_knowledge_point_delete_confirm.html,HTML / redirect,是,required,,,课程结构与知识点管理
teacher-course-knowledge-point-edit,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/edit,GET/POST,teacher,entry.views.teacher_course_knowledge_point_edit,entry/teacher_course_knowledge_point_form.html,HTML / redirect,是,required,,has_real_content；level_id；route_path；slug；sort_order；summary；title,课程结构与知识点管理
teacher-course-knowledge-point-permissions,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/permissions,GET/POST,teacher,entry.views.teacher_course_knowledge_point_permissions,entry/teacher_course_knowledge_point_permissions.html,HTML / redirect,是,required,q；saved,q；student_ids,学生内容开放权限
teacher-course-knowledge-point-teaching-page,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/<slug:content_slug>/teaching-page,GET,teacher,entry.views.teacher_course_knowledge_point_teaching_page,entry/teacher_course_workflow_placeholder.html,HTML / redirect,是,not required for GET,,,课程结构与知识点管理
teacher-course-knowledge-point-new,/teacher/courses/<slug:course_slug>/categories/<slug:category_slug>/levels/<slug:level_code>/knowledge-points/new,GET/POST,teacher,entry.views.teacher_course_knowledge_point_new,entry/teacher_course_knowledge_point_form.html,HTML / redirect,是,required,,has_real_content；level_id；route_path；slug；sort_order；summary；title,课程结构与知识点管理
teacher-course-export,/teacher/courses/<slug:course_slug>/export,GET,teacher,entry.views.teacher_course_export,,未在代码中确认,是,not required for GET,,,课程结构与知识点管理
teacher-course-student-pool,/teacher/courses/<slug:course_slug>/student-pool,GET/POST,teacher,entry.views.teacher_course_student_pool,entry/teacher_course_student_pool.html,HTML / redirect,是,required,created；level_code；restored；saved；single_student_saved；skipped,form_action；level_code；new_course_id；new_parent_phone；new_permission_level_code；new_primary_level_name；new_student_name；student_ids,学生管理
teacher-course-students-detail,/teacher/courses/<slug:course_slug>/students,GET/POST,teacher,entry.views.teacher_course_students_detail,entry/teacher_course_students_detail.html,HTML,是,required,open_import；page；page_size；q,form_action；student_csv_file(file)；student_import_file(file),学生管理
teacher-cpp-gesp2-ascii-char-encoding,/teacher/courses/cpp/gesp2/ascii-char-encoding,GET,teacher,entry.views.teacher_cpp_gesp2_ascii_char_encoding,entry/topics/gesp2_ascii_char_encoding_page.html,HTML,是,not required for GET,,,课程结构与知识点管理
teacher-cpp-gesp2-enumeration,/teacher/courses/cpp/gesp2/enumeration-method,GET,teacher,entry.views.teacher_cpp_gesp2_enumeration,entry/topics/gesp2_enumeration_page.html,HTML,是,not required for GET,,,课程结构与知识点管理
teacher-cpp-gesp4-array-2d,/teacher/courses/cpp/gesp4/array-2d,GET,teacher,entry.views.teacher_cpp_gesp4_array_2d,entry/topics/gesp4_array_2d_page.html,HTML,是,not required for GET,lecture,,课程结构与知识点管理
teacher-cpp-gesp4-binary-search,/teacher/courses/cpp/gesp4/binary-search,GET,teacher,entry.views.teacher_cpp_gesp4_binary_search,entry/topics/gesp4_array_2d_page.html,HTML,是,not required for GET,,,课程结构与知识点管理
teacher-cpp-gesp4-sorting,/teacher/courses/cpp/gesp4/sorting,GET,teacher,entry.views.teacher_cpp_gesp4_sorting,entry/topics/gesp4_array_2d_page.html,HTML,是,not required for GET,,,课程结构与知识点管理
teacher-cpp-gesp4-strings,/teacher/courses/cpp/gesp4/strings,GET,teacher,entry.views.teacher_cpp_gesp4_strings,entry/topics/gesp4_array_2d_page.html,HTML,是,not required for GET,,,课程结构与知识点管理
teacher-homework-stats,/teacher/homework-stats,GET,teacher,entry.views.teacher_homework_stats,entry/teacher_homework_stats.html,HTML,是,not required for GET,anchor_date；period,,Homework Stats
teacher-homework-stats-assignment-submissions,/teacher/homework-stats/assignment-submissions,GET,teacher,entry.views.teacher_homework_assignment_submission_detail,entry/teacher_homework_assignment_submission_detail.html,HTML,是,not required for GET,anchor_date；assignment_id；period；student_id,,其它
teacher-homework-stats-lesson-feedback,/teacher/homework-stats/lesson-feedback,GET,teacher,entry.views.teacher_homework_stats_lesson_feedback,,JSON,是,not required for GET,anchor_date；period；student_id,,Homework Stats
teacher-homework-stats-lesson-feedback-save,/teacher/homework-stats/lesson-feedback/save,POST,teacher,entry.views.teacher_homework_stats_lesson_feedback_save,,JSON,是,required,,anchor_date；areas_for_growth；assignment_id；highlights；period；student_id,Homework Stats
teacher-homework-stats-student-period-assignments,/teacher/homework-stats/student-period-assignments,GET,teacher,entry.views.teacher_homework_student_period_assignment_detail,entry/teacher_homework_student_period_assignment_detail.html,HTML,是,not required for GET,anchor_date；period；student_id,,其它
teacher-homework-stats-submission-answer-detail,/teacher/homework-stats/submission-answer-detail,GET,teacher,entry.views.teacher_homework_submission_answer_detail,entry/teacher_homework_submission_answer_detail.html,HTML,是,not required for GET,anchor_date；period；submission_id,,其它
teacher-homework-stats-submissions,/teacher/homework-stats/submissions,GET,teacher,entry.views.teacher_homework_submission_detail,entry/teacher_homework_submission_detail.html,HTML,是,not required for GET,anchor_date；student_id,,其它
teacher-homework-batch-create,/teacher/homework/batch-create,GET/POST,teacher,entry.views.teacher_homework_batch_create,entry/teacher_homework_batch_create.html,HTML / redirect,是,required,count；course；import_job_id；mode；op；with_summary,assignment_requirement；content_id；due_date；import_job_id；student_ids；summary_areas_for_growth；summary_highlights；summary_html；summary_title；summary_html_file(file),作业批量创建
teacher-homework-import-job-preview,/teacher/homework/import-jobs/<int:import_job_id>/preview,GET,teacher,entry.views.teacher_homework_import_job_preview,,JSON,是,not required for GET,,,作业导入与在线题目
teacher-question-source-create-content,/teacher/homework/question-source/create-content,POST,teacher,entry.views.teacher_question_source_create_content,,JSON,是,required,course,course；level_id；title,题库承接与作业导入
teacher-question-source-import,/teacher/homework/question-source/import,GET/POST,teacher,entry.views.teacher_question_source_import,entry/teacher_question_source_import.html,HTML / redirect,是,required,confirmed_count；content_id；course；op,candidate_count；content_id；form_action；import_job_id；source_file(file),题库承接与作业导入
teacher-question-manual-override,/teacher/questions/<int:question_id>/manual-override,POST,teacher,entry.views.teacher_question_manual_override,,redirect,是,required,,is_reviewed；return_anchor；review_note；code_image(file)；options_image(file)；question_image(file),其它
teacher-students,/teacher/students,GET,teacher,entry.views.teacher_students,entry/role_page.html,HTML,是,not required for GET,tab,,教师工作台
teacher-student-detail,/teacher/students/<int:student_id>,GET/POST,teacher,entry.views.teacher_student_detail,entry/teacher_student_detail.html,HTML / redirect,是,required,content_restriction_saved；homework_op；summary_bound,content_id；delta_hours；description；due_date；evaluation_text；form_action；homework_id；lesson_hour_note；restricted_content_ids；reward_text；summary_areas_for_growth；summary_end_date；summary_highlights；summary_html；summary_start_date；summary_title；teacher_comment；title；topic_slugs；summary_html_file(file),学生管理与教学记录
teacher-student-assignments,/teacher/students/<int:student_id>/assignments,GET,teacher,entry.views.teacher_student_assignments,entry/teacher_student_assignments.html,HTML,是,not required for GET,op,,教师-学生负责关系
teacher-student-assignment-edit,/teacher/students/<int:student_id>/assignments/<int:assignment_id>/edit,GET/POST,teacher,entry.views.teacher_student_assignment_edit,entry/teacher_assignment_form.html,HTML / redirect,是,required,,scope_key,教师-学生负责关系
teacher-student-assignment-remove,/teacher/students/<int:student_id>/assignments/<int:assignment_id>/remove,GET/POST,teacher,entry.views.teacher_student_assignment_remove,entry/teacher_assignment_remove_confirm.html,HTML / redirect,是,required,,,教师-学生负责关系
teacher-homework-builder,/teacher/students/<int:student_id>/homework/<int:assignment_id>,GET/POST,teacher,entry.views.teacher_homework_builder,entry/teacher_homework_question_builder.html,HTML / redirect,是,required,confirmed_count；op,candidate_count；form_action；import_job_id；source_file(file),作业导入与在线题目
