接口编号,URL名称,Path,Method,返回类型,角色,AuthRequired,CSRF,View,Template,Context函数,Path参数,Query参数,Form参数,JSON Body,关联模型,成功响应,失败响应,备注
API-001,login,/,GET/POST,HTML / redirect,anonymous,否,required,entry.views.login_page,entry/login.html,,,,password；username,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,登录与门户
API-002,api-miniapp-login,/api/miniapp/login,POST,JSON,anonymous,否,exempt,entry.views.api_miniapp_login,,,,,,password；username,PortalUser,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,小程序接口
API-003,api-miniapp-login-by-phone,/api/miniapp/login_by_phone,POST,JSON,anonymous,否,exempt,entry.views.api_miniapp_login_by_phone,,,,,,code,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,小程序接口
API-004,api-parent-get-my-child,/api/parent/get_my_child,GET,JSON,parent,是,not required for GET,entry.views.api_parent_get_my_child,,,,anchor_date,,,Student,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端 JSON API
API-005,api-principal-get-students-info,/api/principal/get_students_info,GET,JSON,principal,是,not required for GET,entry.views.api_principal_get_students_info,,,,anchor_date,,,Student,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,校长端 JSON API
API-006,logout,/logout,GET/POST（代码未限制；模板使用 POST）,redirect,anonymous,否,required,entry.views.logout_view,,,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,登录与门户
API-007,debug-media-serve,/media/{path},GET,media file / HttpResponse（DEBUG only）,anonymous,否,not required for GET,codemaster_system.urls.debug_media_serve,,,path,,,,,200 媒体文件响应（仅 DEBUG）,404 文件不存在；生产不应使用 Django serve,调试媒体文件路由
API-008,parent-student-profile,/parent/student-profile,GET,HTML,parent,是,not required for GET,entry.views.parent_student_profile,entry/role_page.html,build_parent_page_shell,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端
API-009,parent-homework-list,/parent/student-profile/homework,GET,HTML,parent,是,not required for GET,entry.views.parent_homework_list,entry/student_homework_list.html,build_parent_homework_list_context,,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端作业
API-010,parent-homework-detail,/parent/student-profile/homework/<int:assignment_id>,GET,HTML,parent,是,not required for GET,entry.views.parent_homework_detail,entry/student_homework_detail.html,build_parent_homework_detail_context,assignment_id,,,,,200 HTML/JSON 或 302 redirect，根据视图分支,400/401/403/404/405/500，根据视图分支,家长端作业
