功能编号,一级模块,二级功能,角色,URL,HTTP方法,View,Template,Context函数,关联模型,权限要求,输入,输出,当前状态,风险点,扩展建议
F-001,登录与门户,login,anonymous,/,GET/POST,entry.views.login_page,entry/login.html,,,未登录可访问/代码未限制,password；username,HTML / redirect,已实现,需确认 CSRF 与表单校验,按 登录与门户 现有模式扩展，并补充对应权限测试。
F-002,小程序接口,api-miniapp-login,anonymous,/api/miniapp/login,POST,entry.views.api_miniapp_login,,,PortalUser,未登录可访问/代码未限制,password；username,JSON,已实现,需确认 CSRF 与表单校验；涉及微信配置、Token 和手机号绑定；需统一错误码和前端兼容,建议补充 OpenAPI schema、错误码和鉴权测试。
F-003,小程序接口,api-miniapp-login-by-phone,anonymous,/api/miniapp/login_by_phone,POST,entry.views.api_miniapp_login_by_phone,,,,未登录可访问/代码未限制,code,JSON,已实现,需确认 CSRF 与表单校验；涉及微信配置、Token 和手机号绑定；需统一错误码和前端兼容,建议补充 OpenAPI schema、错误码和鉴权测试。
F-004,家长端 JSON API,api-parent-get-my-child,parent,/api/parent/get_my_child,GET,entry.views.api_parent_get_my_child,,,Student,parent,anchor_date,JSON,已实现,涉及学生数据权限隔离；需统一错误码和前端兼容,建议补充 OpenAPI schema、错误码和鉴权测试。
F-005,校长端 JSON API,api-principal-get-students-info,principal,/api/principal/get_students_info,GET,entry.views.api_principal_get_students_info,,,Student,principal,anchor_date,JSON,已实现,涉及学生数据权限隔离；需统一错误码和前端兼容,建议补充 OpenAPI schema、错误码和鉴权测试。
F-006,登录与门户,logout,anonymous,/logout,GET/POST（代码未限制；模板使用 POST）,entry.views.logout_view,,,,未登录可访问/代码未限制,无显式参数,redirect,已实现,需确认 CSRF 与表单校验,按 登录与门户 现有模式扩展，并补充对应权限测试。
F-007,调试媒体文件路由,debug-media-serve,anonymous,/media/{path},GET,codemaster_system.urls.debug_media_serve,,,,未登录可访问/代码未限制,无显式参数,media file / HttpResponse（DEBUG only）,仅 DEBUG 启用,仅 DEBUG 下启用；生产环境不应使用 Django serve 提供 media；文档不包含 media 文件内容,生产环境使用 Nginx/CDN/对象存储提供媒体文件，不作为业务接口扩展。
F-008,家长端,parent-student-profile,parent,/parent/student-profile,GET,entry.views.parent_student_profile,entry/role_page.html,build_parent_page_shell,,parent,无显式参数,HTML,已实现,涉及学生数据权限隔离,扩展时先确认当前账号与 Student/parent_user 的数据边界。
F-009,家长端作业,parent-homework-list,parent,/parent/student-profile/homework,GET,entry.views.parent_homework_list,entry/student_homework_list.html,build_parent_homework_list_context,,parent,无显式参数,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-010,家长端作业,parent-homework-detail,parent,/parent/student-profile/homework/<int:assignment_id>,GET,entry.views.parent_homework_detail,entry/student_homework_detail.html,build_parent_homework_detail_context,,parent,无显式参数,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-011,家长端作业,parent-homework-print-blank,parent,/parent/student-profile/homework/<int:assignment_id>/print/blank,GET,entry.views.parent_homework_print_blank,entry/student_homework_print.html,build_parent_homework_print_context,,parent,无显式参数,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-012,家长端作业,parent-homework-submission-detail,parent,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>,GET,entry.views.parent_homework_submission_detail,entry/homework_submission_detail.html,build_parent_homework_submission_detail_context,,parent,无显式参数,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
F-013,家长端作业,parent-homework-print,parent,/parent/student-profile/homework/<int:assignment_id>/submissions/<int:submission_id>/print,GET,entry.views.parent_homework_print,entry/student_homework_print.html,build_parent_homework_print_context,,parent,无显式参数,HTML,已实现,涉及学生数据权限隔离,新增作业能力时补充测试，保持 Assignment/ImportJob/Question/Submission 链路一致。
