模型名,表名,字段名,字段类型,null,blank,default,choices,primary_key,unique,db_index,外键模型,on_delete,related_name,中文说明,开发注意事项
PortalUser,entry_portaluser,id,BigAutoField,False,True,,,True,True,False,,,,ID,
PortalUser,entry_portaluser,username,CharField,False,False,,,False,True,False,,,,账号,作为唯一标识/路由标识使用，变更前需确认引用范围。
PortalUser,entry_portaluser,password,CharField,False,False,,,False,False,False,,,,密码哈希,敏感或文件字段，文档不包含实际内容。
PortalUser,entry_portaluser,role,CharField,False,False,,student:学生；parent:家长；teacher:教师；principal:校长,False,False,False,,,,角色,
PortalUser,entry_portaluser,full_name,CharField,False,False,,,False,False,False,,,,姓名,
PortalUser,entry_portaluser,phone,CharField,False,True,,,False,False,False,,,,手机号,
PortalUser,entry_portaluser,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
PortalUser,entry_portaluser,created_at,DateTimeField,False,True,,,False,False,False,,,,创建时间,
PortalUser,entry_portaluser,updated_at,DateTimeField,False,True,,,False,False,False,,,,更新时间,
Student,entry_student,id,BigAutoField,False,True,,,True,True,False,,,,ID,
Student,entry_student,user,OneToOneField,False,False,,,False,True,True,PortalUser,CASCADE,student_profile,user,
Student,entry_student,parent_user,ForeignKey,True,True,,,False,False,True,PortalUser,SET_NULL,children,parent user,权限隔离相关字段，查询时需带角色边界。
Student,entry_student,teacher_user,ForeignKey,True,True,,,False,False,True,PortalUser,SET_NULL,managed_students,teacher user,权限隔离相关字段，查询时需带角色边界。
Student,entry_student,display_name,CharField,False,False,,,False,False,False,,,,学生姓名,
Student,entry_student,grade,CharField,False,False,,,False,False,False,,,,年级,
Student,entry_student,campus,CharField,False,True,,,False,False,False,,,,校区,
Student,entry_student,primary_course_name,CharField,False,True,,,False,False,False,,,,主课程方向,
Student,entry_student,primary_track_name,CharField,False,True,,,False,False,False,,,,主学习体系,
Student,entry_student,primary_level_name,CharField,False,True,,,False,False,False,,,,主当前级别,
Course,entry_course,id,BigAutoField,False,True,,,True,True,False,,,,ID,
Course,entry_course,slug,SlugField,False,False,,,False,True,True,,,,课程标识,作为唯一标识/路由标识使用，变更前需确认引用范围。
Course,entry_course,title,CharField,False,False,,,False,False,False,,,,课程名称,
Course,entry_course,summary,TextField,False,True,,,False,False,False,,,,课程说明,
CourseCategory,entry_coursecategory,id,BigAutoField,False,True,,,True,True,False,,,,ID,
CourseCategory,entry_coursecategory,course,ForeignKey,False,False,,,False,False,True,Course,CASCADE,categories,course,
CourseCategory,entry_coursecategory,slug,SlugField,False,False,,,False,False,True,,,,分类标识,作为唯一标识/路由标识使用，变更前需确认引用范围。
CourseCategory,entry_coursecategory,title,CharField,False,False,,,False,False,False,,,,分类名称,
CourseCategory,entry_coursecategory,summary,TextField,False,True,,,False,False,False,,,,分类说明,
CourseCategory,entry_coursecategory,sort_order,PositiveIntegerField,False,False,0,,False,False,False,,,,排序,
CourseCategory,entry_coursecategory,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
CourseLevel,entry_courselevel,id,BigAutoField,False,True,,,True,True,False,,,,ID,
CourseLevel,entry_courselevel,category,ForeignKey,False,False,,,False,False,True,CourseCategory,CASCADE,levels,category,
CourseLevel,entry_courselevel,code,CharField,False,False,,,False,False,False,,,,级别编码,作为唯一标识/路由标识使用，变更前需确认引用范围。
CourseLevel,entry_courselevel,title,CharField,False,False,,,False,False,False,,,,级别名称,
CourseLevel,entry_courselevel,summary,TextField,False,True,,,False,False,False,,,,级别说明,
CourseLevel,entry_courselevel,sort_order,PositiveIntegerField,False,False,0,,False,False,False,,,,排序,
CourseLevel,entry_courselevel,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
CourseContent,entry_coursecontent,id,BigAutoField,False,True,,,True,True,False,,,,ID,
CourseContent,entry_coursecontent,course,ForeignKey,False,False,,,False,False,True,Course,CASCADE,contents,course,
CourseContent,entry_coursecontent,level,ForeignKey,True,True,,,False,False,True,CourseLevel,SET_NULL,contents,level,
CourseContent,entry_coursecontent,content_type,CharField,False,True,,,False,False,False,,,,课程类别,
CourseContent,entry_coursecontent,slug,SlugField,False,False,,,False,True,True,,,,内容标识,作为唯一标识/路由标识使用，变更前需确认引用范围。
CourseContent,entry_coursecontent,title,CharField,False,False,,,False,False,False,,,,内容名称,
CourseContent,entry_coursecontent,phase,CharField,False,True,,,False,False,False,,,,所属阶段,
CourseContent,entry_coursecontent,permission_code,CharField,False,True,'',C1:C1；C2:C2；C3:C3；C4:C4,False,False,False,,,,权限归属,
CourseContent,entry_coursecontent,sort_order,PositiveIntegerField,False,False,0,,False,False,False,,,,排序,
CourseContent,entry_coursecontent,route_path,CharField,False,False,,,False,True,False,,,,访问路由,作为唯一标识/路由标识使用，变更前需确认引用范围。
CourseContent,entry_coursecontent,summary,TextField,False,True,,,False,False,False,,,,内容说明,
CourseContent,entry_coursecontent,has_real_content,BooleanField,False,False,False,,False,False,False,,,,是否已有真实内容,
CourseContent,entry_coursecontent,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
Question,questions,id,BigAutoField,False,True,,,True,True,False,,,,ID,
Question,questions,code,CharField,False,False,,,False,True,False,,,,题目标识,作为唯一标识/路由标识使用，变更前需确认引用范围。
Question,questions,content_slug,CharField,False,False,,,False,False,False,,,,知识点/专题标识,
Question,questions,level_code,CharField,False,False,,,False,False,False,,,,级别,
Question,questions,question_type,CharField,False,False,,,False,False,False,,,,题型,
Question,questions,source_year,PositiveSmallIntegerField,True,True,,,False,False,False,,,,来源年份,
Question,questions,source_month,PositiveSmallIntegerField,True,True,,,False,False,False,,,,来源月份,
Question,questions,source_question_no,PositiveSmallIntegerField,True,True,,,False,False,False,,,,来源题号,
Question,questions,title,CharField,False,False,,,False,False,False,,,,题目标题,
Question,questions,payload,JSONField,False,True,builtins.dict,,False,False,False,,,,题目内容,JSON 结构可能存在历史兼容，扩展时需保留旧字段。
Question,questions,sort_order,PositiveIntegerField,False,False,0,,False,False,False,,,,排序,
Question,questions,is_active,BooleanField,False,False,True,,False,False,False,,,,是否启用,状态字段会影响页面展示和统计口径。
Question,questions,is_demo,BooleanField,False,False,False,,False,False,False,,,,是否适合作教学 Demo,
StudentContentAccess,entry_studentcontentaccess,id,BigAutoField,False,True,,,True,True,False,,,,ID,
StudentContentAccess,entry_studentcontentaccess,student,ForeignKey,False,False,,,False,False,True,Student,CASCADE,content_accesses,student,权限隔离相关字段，查询时需带角色边界。
StudentContentAccess,entry_studentcontentaccess,content,ForeignKey,False,False,,,False,False,True,CourseContent,CASCADE,student_accesses,content,
